--------------------MobilerakerCompanion Log Start--------------------
Git Version: v0.4.0-21-g7bb9f8f
2024-03-12 20:59:09,552 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=602.3423800290002)
2024-03-12 20:59:09,803 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=602.5934722900001)
2024-03-12 20:59:10,053 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=602.844167239)
2024-03-12 20:59:10,304 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=603.0947695790001)
2024-03-12 20:59:10,554 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=603.3450885490001)
2024-03-12 20:59:10,804 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=603.5952474490005)
2024-03-12 20:59:11,055 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=603.8458771620008)
2024-03-12 20:59:11,306 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=604.0965878420011)
2024-03-12 20:59:11,556 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=604.3470083209995)
2024-03-12 20:59:11,807 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=604.5979635410004)
2024-03-12 20:59:12,058 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=604.8485416450003)
2024-03-12 20:59:12,308 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=605.0993322289996)
2024-03-12 20:59:12,560 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=605.3501195919998)
2024-03-12 20:59:12,810 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=605.6008143100007)
2024-03-12 20:59:13,061 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=605.8514802909995)
2024-03-12 20:59:13,311 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=606.1020552680002)
2024-03-12 20:59:13,562 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=606.352696377)
2024-03-12 20:59:13,813 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=606.6035447600007)
2024-03-12 20:59:14,063 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=606.854106752)
2024-03-12 20:59:14,314 mobileraker._Default INFO - Took a PrinterSnapshot: PrinterSnapshot(print_state=printing, m117=None, m117_hash=, progress=16, filename=Voron_Design_Cube_v7-REDOUBT_USE_ME-KVP RED.gcode, printing_duration=607.1048110369993)
